,index,unix,date,symbol,open,high,low,close,volume,Volume USD,feature_close,feature_open,feature_high,feature_low,feature_volume,position,real_position,portfolio_valuation,reward
67,68,1645848000,2022-02-26 04:00:00,BTC/USD,39423.55,39488.93,39274.31,39376.99,20.25732045,797672.3047864456,0.008195903241969383,0.0009602054397759948,0.001975265250086379,0.007609266223751419,-0.0006497030151365047,1,1.0,100.011429324796,0.0
68,69,1645844400,2022-02-26 03:00:00,BTC/USD,39597.57,39634.65,39301.0,39428.69,27.41243881,1080836.551983459,0.0013112279408726074,0.004413537452043088,0.003695785987310285,0.0006769182541951641,0.00018146984746386449,1,1.0,100.14273928261889,0.1313099578228929
69,70,1645840800,2022-02-26 02:00:00,BTC/USD,39753.68,39755.9,39492.25,39597.57,27.67270745,1095771.9703408966,0.004264908174920768,0.00394241363800861,0.0030620565857955423,0.004829841831203279,6.5728437376333855e-06,1,1.0,100.571668212544,0.4289289299251067
70,71,1645837200,2022-02-26 01:00:00,BTC/USD,39774.69,39844.04,39601.0,39759.9,34.66073579,1378107.388936821,0.004082756747376169,0.0005284218521676875,0.0022168063802977226,0.00273516784498955,0.0001757556819810914,1,1.0,100.98396116135228,0.41229294880828604
71,72,1645833600,2022-02-26 00:00:00,BTC/USD,39242.64,40330.99,39099.51,39777.78,151.63695307,6031781.359088785,0.0004494971815922704,-0.013375557911980078,0.012241759092639084,-0.01260728979847538,0.0029407427282266635,0,0.0,100.98396116135228,0.0
72,73,1645830000,2022-02-25 23:00:00,BTC/USD,39434.79,39680.89,39160.76,39231.64,132.11147061,5182949.6548421,-0.01392090669673762,0.004897832463797115,-0.01657080866361943,0.0015612398564016187,-0.000497697329502412,0,0.0,100.98396116135228,0.0
73,74,1645826400,2022-02-25 22:00:00,BTC/USD,38987.36,39515.68,38900.55,39465.45,55.78181892,2201454.585496314,0.0059244225012003585,-0.011337258285411678,-0.004186193239909823,-0.006593362041988604,-0.0019340879602285036,0,0.0,100.98396116135228,0.0
74,75,1645822800,2022-02-25 21:00:00,BTC/USD,39128.57,39237.22,38954.51,39021.29,21.03178576,820687.4113588305,-0.01138250426882341,0.0036187937405452028,-0.007136104418895406,0.001382834857586695,-0.0008905403475897389,1,1.0,99.84744716773443,-0.0
75,76,1645819200,2022-02-25 20:00:00,BTC/USD,38678.53,39254.81,38645.9,39134.42,127.4313397,4986951.568982474,0.002890805587510876,-0.01149985102628328,0.0004494764455432458,-0.007885896865214832,0.0027188228148008835,1,1.0,100.13692354583688,0.2894763781024494
76,77,1645815600,2022-02-25 19:00:00,BTC/USD,38685.59,38984.99,38556.28,38703.22,39.35746922,1523260.7898648884,-0.011141191869823675,0.00018241376298916916,-0.006971512964554363,-0.0023155696089369984,-0.002275621265620793,0,0.0,100.13692354583688,0.0
77,78,1645812000,2022-02-25 18:00:00,BTC/USD,39025.65,39054.76,38556.27,38685.67,59.08194787,2285624.738256023,-0.00045365635389028837,0.00879033502586371,0.0018035101886565252,-2.5849364899295447e-07,0.0005098652459683392,0,0.0,100.13692354583688,0.0
78,79,1645808400,2022-02-25 17:00:00,BTC/USD,39390.28,39405.97,38881.31,38992.4,217.14528551,8467015.830720125,0.007866404735281829,0.00935130948595104,0.009007139852894388,0.008335983422410542,0.004053696044357362,0,0.0,100.13692354583688,0.0
