,index,date,hour,holidays,n_weekday,n_hour,open,high,low,close,adj_close,volume,dividends,stock_splits,source10_x,source9_x,source8_x,source7_x,source6_x,source5_x,source4_x,source3_x,source2_x,source1_x,source10_y,source9_y,source8_y,source7_y,source6_y,source5_y,source4_y,source3_y,source2_y,source1_y,feature_close,feature_open,feature_high,feature_low,feature_volume,feature_source10_x,feature_source9_x,feature_source8_x,feature_source7_x,feature_source6_x,feature_source5_x,feature_source4_x,feature_source3_x,feature_source2_x,feature_source1_x,feature_source10_y,feature_source9_y,feature_source8_y,feature_source7_y,feature_source6_y,feature_source5_y,feature_source4_y,feature_source3_y,feature_source2_y,feature_source1_y,position,real_position,portfolio_valuation,Asset_value,Money_fiat,reward
20,34,2022-04-07,14:00:00,0,3,14,171.660003662109,173.179992675781,171.490005493164,172.652206420898,172.652206420898,8432965.0,0.0,0.0,0.06099666666666667,0.130403,0.0,0.07068200000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.00265,0.06298533333333334,0.0,0.048972666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.005646967266967996,0.0027124971670013393,0.005355508332042482,0.004031688678128739,0.22325769324790104,0.06099666666666667,0.130403,0.0,0.07068200000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.00265,0.06298533333333334,0.0,0.048972666666666664,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,100.36686846344016,100.36686846344016,0.0,0.5651711675009068
21,35,2022-04-07,15:00:00,0,3,15,172.660003662109,173.360000610352,171.880004882812,172.169998168945,172.169998168945,9110660.0,0.0,0.0,0.0371242,0.0,0.0,0.15607980000000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.0684662,0.0,0.0,0.013053600000000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.002796853334091772,0.005808566393744898,0.001038887021691424,0.0022715994150217366,0.0772967262849252,0.0371242,0.0,0.0,0.15607980000000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.0684662,0.0,0.0,0.013053600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.08654924135175,0.0,100.08654924135175,-0.28031922208840854
22,36,2022-04-07,16:00:00,0,3,16,172.2675,172.38,171.68,171.96,171.96,9110660.0,0.0,0.0,0.0,0.0,0.336585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012204585251429118,-0.0022758627674384587,-0.00566901852957024,-0.0011643084326670916,0.0,0.0,0.0,0.336585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.08654924135175,0.0,100.08654924135175,0.0
23,37,2022-04-07,17:00:00,0,3,17,171.94,172.1,163.0345,172.05,172.05,9110660.0,0.0,0.0,0.276179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005232406154085672,-0.0019029225035842917,-0.0016256390017595048,-0.05167044402997275,0.0,0.276179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.08654924135175,0.0,100.08654924135175,0.0
24,38,2022-04-07,18:00:00,0,3,18,172.03,172.6999,171.62,171.9,171.9,9110660.0,0.0,0.0,0.2205295,0.0,0.0,0.0,0.0,0.218756,0.0,0.0,0.0,0.0,0.001515,0.0,0.0,0.0,0.0,-0.1042445,0.0,0.0,0.0,0.0,-0.0008722198546858579,0.0005233014626499614,0.0034797028961761267,0.05132089552655928,0.0,0.2205295,0.0,0.0,0.0,0.0,0.218756,0.0,0.0,0.0,0.0,0.001515,0.0,0.0,0.0,0.0,-0.1042445,0.0,0.0,0.0,0.0,0,0.0,100.08654924135175,0.0,100.08654924135175,0.0
25,39,2022-04-07,19:00:00,0,3,19,171.94,172.28,171.82,172.21,172.21,9110660.0,0.0,0.0,0.380205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018017499280045704,-0.0005233014626498878,-0.002434345927759893,0.0011646868309355515,0.0,0.380205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.08654924135175,0.0,100.08654924135175,0.0
26,51,2022-04-08,07:00:00,0,4,7,172.17,172.59,172.12,172.39,172.39,9110660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010446895900791025,0.0013367820420828297,0.0017977793574018904,0.001744490760488506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.08654924135175,0.0,100.08654924135175,0.0
27,52,2022-04-08,08:00:00,0,4,8,172.37,173.5,171.71,172.48,172.48,9110660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017753,0.0,0.0,0.0005219358137451651,0.0011609683779191743,0.005258759843602189,-0.0023849006446876216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017753,0.0,0.0,1,0.9999999999999999,100.08654924135175,100.08654924135173,1.4210854715202004e-14,0.0
28,53,2022-04-08,09:00:00,0,4,9,171.779998779297,171.779998779297,169.199996948242,170.279998779297,170.279998779297,19362722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012837153929479199,-0.003428747934421259,-0.00996301815503512,-0.014725578189983456,0.7539045146317046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,98.80993438451661,0.0,98.80993438451661,-1.2766148568351383
29,54,2022-04-08,10:00:00,0,4,10,170.270004272461,171.360000610352,169.619995117188,170.899993896484,170.899993896484,11416468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003634420616430118,-0.008829143707055507,-0.002447970970628896,0.002479183011055242,-0.5282927967099837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,98.80993438451661,98.80993438451661,0.0,0.0
